circuit,chosen_family,seed_ratio_mean,seed_ratio_std,seed_ratio_min,seed_ratio_max,loss_rows_total,random_gate_fail_total,seconds,seed_seconds_mean,batched_fault_seconds,seed_eval_mode,engine,inputs,outputs,gates,nets,candidate_nodes,candidate_coverage,unresolved_wire_count,observed_output_count,shard_count
adder,mass_balance,1.0,0.0,1.0,1.0,0,0,0.2878560999961337,0.7627275999839185,0.7627275999839185,candidate_sharded,numba,256,129,1020,1276,892,892,0,129,1
arbiter,pdom_dist,0.927599674569048,0.0,0.927599674569048,0.927599674569048,0,0,1.4394678999960888,4.120622599977651,4.120622599977651,candidate_sharded,numba,256,129,11839,12095,11711,11711,0,129,3
bar,pdom_dist,0.9909861011872689,0.0,0.9909861011872689,0.9909861011872689,0,0,0.5206218999956036,1.1967627999838442,1.1967627999838442,candidate_sharded,numba,135,128,3336,3471,3208,3208,0,128,1
cavlc,pdom_dist,0.8917901040416214,0.0,0.8917901040416214,0.8917901040416214,0,0,0.26068900000245776,0.9574319000093965,0.9574319000093965,candidate_sharded,numba,10,11,693,703,682,682,0,11,1
ctrl,pdom_dist,0.9438822530051849,0.0,0.9438822530051849,0.9438822530051849,0,0,0.21723449999990407,0.9027948000148172,0.9027948000148172,candidate_sharded,numba,7,26,175,182,164,164,0,26,1
dec,index_mid,1.0,0.0,1.0,1.0,0,0,0.19140700000571087,0.8858849999814993,0.8858849999814993,candidate_sharded,numba,8,256,304,312,48,48,0,256,1
div,inv_depth,0.7765187598792878,0.0,0.7765187598792878,0.7765187598792878,0,0,6.974687699999777,121.22263689998363,121.22263689998363,candidate_sharded,numba,128,128,57247,57375,57119,57119,0,128,14
hyp,index_mid,0.8137705751803513,0.0,0.8137705751803513,0.8137705751803513,0,0,29.19650730000285,18824.358993399946,18824.358993399946,candidate_sharded,numba,256,128,214335,214591,214207,214207,0,128,53
i2c,pdom_dist,0.9901967846894548,0.0,0.9901967846894548,0.9901967846894548,0,0,0.3353788000094937,1.1201559000037378,1.1201559000037378,candidate_sharded,numba,147,142,1357,1504,1357,1357,0,142,1
int2float,pdom_dist,0.9329524691642977,0.0,0.9329524691642977,0.9329524691642977,0,0,0.1415763999975752,0.9326239999936661,0.9326239999936661,candidate_sharded,numba,11,7,260,271,253,253,0,7,1
log2,sink_reach_near_pr,0.6569785245048501,0.0,0.6569785245048501,0.6569785245048501,0,0,4.0040581000066595,143.92101510000066,143.92101510000066,candidate_sharded,numba,32,32,32060,32092,32028,32028,0,32,8
max,pdom_dist,0.5172657826113336,0.0,0.5172657826113336,0.5172657826113336,0,0,0.4369486999930814,1.3059579999971902,1.3059579999971902,candidate_sharded,numba,512,130,2865,3377,2735,2735,0,130,1
mem_ctrl,pdom_dist,0.9123196455088508,0.0,0.9123196455088508,0.9123196455088508,0,0,5.78286800000933,98.91446360004193,98.91446360004193,candidate_sharded,numba,1204,1231,47110,48314,47110,47110,0,1231,12
multiplier,pdom_dist,0.5928968355635006,0.0,0.5928968355635006,0.5928968355635006,0,0,3.28255679999711,27.618032399986987,27.618032399986987,candidate_sharded,numba,128,128,27062,27190,26934,26934,0,128,7
priority,wl3_common_dist,0.7184421409165633,0.0,0.7184421409165633,0.7184421409165633,0,0,0.27607480000006035,1.1486493999982486,1.1486493999982486,candidate_sharded,numba,128,8,978,1106,971,971,0,8,1
router,pdom_dist,0.7581412843019539,0.0,0.7581412843019539,0.7581412843019539,0,0,0.2081493000005139,1.0168918999988819,1.0168918999988819,candidate_sharded,numba,60,30,284,344,254,254,0,30,1
sin,mass_balance,0.7446721454093748,0.0,0.7446721454093748,0.7446721454093748,0,0,0.8661586000089301,4.468789699996705,4.468789699996705,candidate_sharded,numba,24,25,5416,5440,5391,5391,0,25,2
sqrt,role_depth_resonance_idx_inv_dist,0.6871940731647013,0.0,0.6871940731647013,0.6871940731647013,0,0,2.9566633999929763,121.43769920000341,121.43769920000341,candidate_sharded,numba,128,64,24618,24746,24554,24554,0,64,6
square,mass_balance,0.838453827059878,0.0,0.838453827059878,0.838453827059878,0,0,2.4497730000002775,14.864912800025195,14.864912800025195,candidate_sharded,numba,64,128,18486,18550,18358,18358,0,128,5
voter,index_mid,0.645600876998405,0.0,0.645600876998405,0.645600876998405,0,0,1.773432200003299,13.856646699976409,13.856646699976409,candidate_sharded,numba,1001,1,13758,14759,13758,13758,0,1,4
